Team,Span,Match,Won,Lost,Tied,Tie+W,Tie+L,NR,%
Islamabad United,2016-2020,53,28,24,0,1,0,0,53.77
Karachi Kings,2016-2020,54,23,27,0,1,1,2,46.15
Lahore Qalandars,2016-2020,49,17,30,0,1,1,0,36.73
Multan Sultans,2018-2020,31,13,15,0,0,1,2,46.55
Peshawar Zalmi,2016-2020,57,31,25,0,0,0,1,55.35
Quetta Gladiators,2016-2020,52,30,21,0,0,0,1,58.82
